filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
ELIGOS_unmod.fast5	03447706-3a37-4889-9795-dce9a6f5b9d0	3e6f7bccdb8bc5761e0574bad185b91c40fec5e3	0	132	2	16816.507304	9.540837	2873	TRUE	16819.162351	2074	6.885790	480	10.227345	0.000000	76.078079	11.460038	76.078079	11.460038
ELIGOS_unmod.fast5	01c8b11d-30d3-4d05-be07-b5e4d5d744bc	3e6f7bccdb8bc5761e0574bad185b91c40fec5e3	0	257	3	23293.227092	10.600930	3193	TRUE	23295.354914	2552	8.473108	512	9.887319	0.000000	85.881248	13.531129	85.881248	13.531129
ELIGOS_unmod.fast5	042f6a33-e80a-4c06-8521-a64e15aa7071	3e6f7bccdb8bc5761e0574bad185b91c40fec5e3	0	259	2	23215.190571	15.491036	4665	TRUE	23216.996680	4121	13.684927	524	7.479954	0.000000	74.559280	9.665092	74.559280	9.665092
ELIGOS_unmod.fast5	0296214e-e3b8-45bc-9d37-4cf9e7b8db38	3e6f7bccdb8bc5761e0574bad185b91c40fec5e3	0	1	4	16796.352922	13.103254	3946	TRUE	16799.250000	3074	10.206175	712	10.460774	0.000000	85.467026	12.012329	85.467026	12.012329
ELIGOS_unmod.fast5	0373be08-69d0-4123-abc0-79212def7108	3e6f7bccdb8bc5761e0574bad185b91c40fec5e3	0	243	2	23200.320385	16.466135	4959	TRUE	23200.606242	4873	16.180279	1078	10.472307	0.000000	80.634483	10.217383	80.634483	10.217383
ELIGOS_unmod.fast5	03b61f63-aefb-4fab-9569-65439dff4af3	3e6f7bccdb8bc5761e0574bad185b91c40fec5e3	0	177	1	23302.536853	5.846282	1760	TRUE	23304.011952	1316	4.371182	360	9.944756	0.000000	86.985832	12.564620	86.985832	12.564620
ELIGOS_unmod.fast5	04170958-9c1f-47b8-a610-b61dbd1ab64b	3e6f7bccdb8bc5761e0574bad185b91c40fec5e3	0	396	1	23288.751660	10.544821	3176	TRUE	23288.884462	3136	10.412019	738	9.948232	0.000000	78.977608	12.150401	78.977608	12.150401
ELIGOS_unmod.fast5	0cc6e64d-502f-4fbf-ac4e-22d5b25b0a01	3e6f7bccdb8bc5761e0574bad185b91c40fec5e3	0	222	3	16811.446215	9.043493	2723	TRUE	16811.711819	2643	8.777888	298	8.061102	0.000000	75.249649	9.803164	75.249649	9.803164
ELIGOS_unmod.fast5	0149f2ed-4f73-42a5-9b3d-617b83233986	3e6f7bccdb8bc5761e0574bad185b91c40fec5e3	0	76	3	23200.725764	12.757304	3842	TRUE	23202.722444	3241	10.760624	868	9.008893	0.000000	73.178551	11.460038	73.178551	11.460038
ELIGOS_unmod.fast5	065540ec-caec-4938-aeca-6d6c43fd9d47	3e6f7bccdb8bc5761e0574bad185b91c40fec5e3	0	107	1	74800.241368	11.555113	3480	TRUE	74804.806773	2105	6.989708	292	11.487048	0.000000	99.274300	12.150401	99.274300	12.150401
