filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
curlcake_m6A.fast5	0210e34e-6b52-4c58-83d3-c926048f6de4	342601433403d7a69ee8c95d381d43dfb2fd98d1	0	446	3	17222.378154	14.645750	4411	FALSE	17223.311089	4130	13.712815	694	5.322188	0.000000	59.201679	9.671561	59.201679	9.671561
curlcake_m6A.fast5	104992c9-71c4-4367-9b4e-3197f8ec102f	342601433403d7a69ee8c95d381d43dfb2fd98d1	0	324	4	3997.793493	6.510956	1961	FALSE	4002.566733	523	1.737716	3	2.905992	0.000000	107.852562	2.930776	107.852562	2.930776
curlcake_m6A.fast5	08e866f6-ac80-44d6-8b5d-0af69b3a2221	342601433403d7a69ee8c95d381d43dfb2fd98d1	0	231	3	7596.091965	17.307437	5213	FALSE	7598.502988	4486	14.896414	714	6.319045	0.000000	88.802521	12.602338	88.802521	12.602338
curlcake_m6A.fast5	0388761d-c56f-4330-9bc6-965354adbaa7	342601433403d7a69ee8c95d381d43dfb2fd98d1	0	504	2	25280.535193	17.496680	5270	TRUE	25280.776892	5197	17.254980	1019	7.136566	0.000000	91.440216	12.748877	91.440216	12.748877
curlcake_m6A.fast5	0397296a-ea50-4d61-a10c-c4cd76adc369	342601433403d7a69ee8c95d381d43dfb2fd98d1	0	300	4	3860.498008	21.403386	6446	FALSE	3865.295485	5001	16.605910	634	6.722005	0.000000	91.000603	14.067726	91.000603	14.067726
curlcake_m6A.fast5	0d7499d6-025a-456e-98e2-c503e4b81c5c	342601433403d7a69ee8c95d381d43dfb2fd98d1	0	408	4	10461.606574	26.945219	8115	TRUE	10465.058765	7076	23.493028	1171	7.199576	0.000000	90.707520	12.602338	90.707520	12.602338
curlcake_m6A.fast5	2a8a789b-d5e4-47ed-a72e-b97f2a7ecd69	342601433403d7a69ee8c95d381d43dfb2fd98d1	0	502	3	765.404050	8.641102	2602	FALSE	768.155710	1773	5.889442	314	6.763132	0.000000	91.000603	13.921186	91.000603	13.921186
curlcake_m6A.fast5	1423f4b4-9686-4bcd-9505-6d4e61c61ad2	342601433403d7a69ee8c95d381d43dfb2fd98d1	0	107	3	2225.328353	27.467131	8273	TRUE	2228.342629	7365	24.452855	1023	7.463126	0.000000	93.345222	15.386575	93.345222	15.386575
curlcake_m6A.fast5	0fb7f654-a774-438b-959c-bebbab58028f	342601433403d7a69ee8c95d381d43dfb2fd98d1	0	20	3	1599.638778	23.573705	7100	TRUE	1600.197211	6932	23.015272	1358	7.456301	0.000000	96.569077	14.214265	96.569077	14.214265
curlcake_m6A.fast5	0f600861-6c75-49e8-b24e-a56689f561a0	342601433403d7a69ee8c95d381d43dfb2fd98d1	0	82	2	24458.050465	24.709163	7442	FALSE	24461.851262	6297	20.908367	957	6.101825	0.000000	96.276001	13.481570	96.276001	13.481570
