filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
batch_0.fast5	052e3063-be1c-4d77-9d9f-2fde968d62bf	71d544d3bd9e1fe7886a5d176c756a576d30ed50	0	205	2	191.366866	4.304449	1296	TRUE	193.161023	756	2.510292	145	8.926199	0.000000	86.056709	13.840330	86.056709	13.840330
batch_0.fast5	00674aa7-adf7-42ac-9339-19742a920968	71d544d3bd9e1fe7886a5d176c756a576d30ed50	0	445	3	446.149402	8.178287	2463	TRUE	446.291169	2420	8.036521	318	7.677241	0.000000	68.790550	8.359012	68.790550	8.359012
batch_0.fast5	00828455-e5c5-4557-9a85-1c53abdd56b5	71d544d3bd9e1fe7886a5d176c756a576d30ed50	0	56	2	391.088645	8.434595	2540	TRUE	392.590969	2088	6.932271	380	7.866156	0.000000	77.012527	12.881100	77.012527	12.881100
batch_0.fast5	014c0b7d-a2b6-4491-9398-f5d1e2afd54f	71d544d3bd9e1fe7886a5d176c756a576d30ed50	0	15	4	372.630478	5.288181	1592	TRUE	374.358898	1072	3.559761	175	7.199852	0.000000	82.767914	11.647802	82.767914	11.647802
batch_0.fast5	0362a949-c9aa-45e4-98a2-8593971ed4ad	71d544d3bd9e1fe7886a5d176c756a576d30ed50	0	309	1	382.868526	6.355578	1914	TRUE	384.877822	1309	4.346282	235	8.058787	0.000000	82.630882	12.744066	82.630882	12.744066
batch_0.fast5	00007b91-98f4-41c3-9eab-39f40625d550	71d544d3bd9e1fe7886a5d176c756a576d30ed50	0	201	4	261.343958	29.851594	8991	TRUE	265.330013	7790	25.865538	612	7.903951	0.000000	82.493851	11.921868	82.493851	11.921868
batch_0.fast5	0164e118-a2c8-48a7-b2d9-bb54ab23efff	71d544d3bd9e1fe7886a5d176c756a576d30ed50	0	369	3	484.588977	14.049137	4231	TRUE	486.810093	3562	11.828021	559	7.383657	0.000000	77.560661	13.703297	77.560661	13.703297
batch_0.fast5	00104315-e8fa-4031-a122-3741b7531396	71d544d3bd9e1fe7886a5d176c756a576d30ed50	0	467	2	66.167663	9.876162	2974	TRUE	68.244024	2349	7.799801	354	7.270009	0.000000	77.149559	10.962638	77.149559	10.962638
batch_0.fast5	005c48b0-72d1-4898-9fb2-00bebca69828	71d544d3bd9e1fe7886a5d176c756a576d30ed50	0	224	2	334.433267	11.464807	3453	TRUE	336.901062	2709	8.997012	381	7.882280	0.000000	79.342087	13.703297	79.342087	13.703297
batch_0.fast5	006451b4-2487-4c6a-b159-c41a05d92d17	71d544d3bd9e1fe7886a5d176c756a576d30ed50	0	170	1	174.423307	8.831009	2659	TRUE	177.055777	1867	6.198539	152	7.626264	0.000000	83.179016	12.881100	83.179016	12.881100
