,label,variable,value
0,A,0,0.093
1,A,0,0.088
2,A,0,0.08
3,A,0,0.033
4,A,0,0.064
5,A,0,0.033
6,A,0,0.06
7,A,0,0.055
8,A,0,0.044
9,A,0,0.068
10,A,0,0.061
11,A,0,0.048
12,A,0,0.118
13,A,0,0.082
14,A,0,0.23
15,A,0,0.072
16,A,0,0.124
17,A,0,0.191
18,A,0,0.061
19,A,0,0.046
20,A,0,0.051
21,A,0,0.131
22,A,0,0.043
23,A,0,0.089
24,A,0,0.076
25,A,0,0.062
26,A,0,0.116
27,A,0,0.078
28,A,0,0.057
29,A,0,0.042
30,A,0,0.052
31,A,0,0.078
32,A,0,0.047
33,A,0,0.065
34,A,0,0.082
35,A,0,0.07
36,A,0,0.05
37,A,0,0.049
38,A,0,0.103
39,A,0,0.049
40,A,0,0.067
41,A,0,0.045
42,A,0,0.073
43,A,0,0.085
44,A,0,0.13
45,A,0,0.092
46,A,0,0.175
47,A,0,0.047
48,A,0,0.061
49,A,0,0.046
50,A,0,0.042
51,A,0,0.107
52,A,0,0.066
53,A,0,0.05
54,A,0,0.081
55,A,0,0.099
56,A,0,0.083
57,A,0,0.278
58,A,0,0.035
59,A,0,0.121
60,A,0,0.068
61,A,0,0.061
62,A,0,0.077
63,A,0,0.051
64,A,0,0.069
65,A,0,0.051
66,A,0,0.096
67,A,0,0.106
68,A,0,0.116
69,A,0,0.073
70,A,0,0.07
71,A,0,0.061
72,A,0,0.089
73,A,0,0.048
74,A,0,0.062
75,A,0,0.077
76,A,0,0.049
77,A,0,0.053
78,A,0,0.129
79,A,0,0.049
80,A,0,0.077
81,A,0,0.067
82,A,0,0.115
83,A,0,0.049
84,A,0,0.077
85,A,0,0.041
86,A,0,0.072
87,A,0,0.056
88,A,0,0.134
89,A,0,0.048
90,A,0,0.106
91,A,0,0.069
92,A,0,0.062
93,A,0,0.071
94,A,0,0.072
95,A,0,0.079
96,A,0,0.065
97,A,0,0.046
98,A,0,0.086
99,A,0,0.104
100,A,0,0.102
101,m1A,0,0.098
102,m1A,0,0.062
103,m1A,0,0.065
104,m1A,0,0.041
105,m1A,0,0.076
106,m1A,0,0.077
107,m1A,0,0.083
108,m1A,0,0.291
109,m1A,0,0.042
110,m1A,0,0.111
111,m1A,0,0.166
112,m1A,0,0.044
113,m1A,0,0.104
114,m1A,0,0.131
115,m1A,0,0.186
116,m1A,0,0.072
117,m1A,0,0.073
118,m1A,0,0.028
119,m1A,0,0.1
120,m1A,0,0.062
121,m1A,0,0.051
122,m1A,0,0.062
123,m1A,0,0.121
124,m1A,0,0.119
125,m1A,0,0.07
126,m1A,0,0.078
127,m1A,0,0.164
128,m1A,0,0.175
129,m1A,0,0.064
130,m1A,0,0.133
131,m1A,0,0.06
132,m1A,0,0.063
133,m1A,0,0.054
134,m1A,0,0.111
135,m1A,0,0.085
136,m1A,0,0.05
137,m1A,0,0.07
138,m1A,0,0.057
139,m1A,0,0.191
140,m1A,0,0.099
141,m1A,0,0.05
142,m1A,0,0.064
143,m1A,0,0.036
144,m1A,0,0.297
145,m1A,0,0.042
146,m1A,0,0.159
147,m1A,0,0.058
148,m1A,0,0.04
149,m1A,0,0.057
150,m1A,0,0.122
151,m1A,0,0.063
152,m1A,0,0.09
153,m1A,0,0.068
154,m1A,0,0.171
155,m1A,0,0.075
156,m1A,0,0.04
157,m1A,0,0.095
158,m1A,0,0.147
159,m1A,0,0.091
160,m1A,0,0.072
161,m1A,0,0.054
162,m1A,0,0.053
163,m1A,0,0.097
164,m1A,0,0.075
165,m1A,0,0.109
166,m1A,0,0.06
167,m1A,0,0.211
168,m1A,0,0.145
169,m1A,0,0.043
170,m1A,0,0.097
171,m1A,0,0.111
172,m1A,0,0.055
173,m1A,0,0.049
174,m1A,0,0.062
175,m1A,0,0.158
176,m1A,0,0.248
177,m1A,0,0.099
178,m1A,0,0.079
179,m1A,0,0.1
180,m1A,0,0.099
181,m1A,0,0.152
182,m1A,0,0.058
183,m1A,0,0.103
184,m1A,0,0.093
185,m1A,0,0.008
186,m1A,0,0.077
187,m1A,0,0.06
188,m1A,0,0.066
189,m1A,0,0.137
190,m1A,0,0.037
191,m1A,0,0.08
192,m1A,0,0.049
193,m1A,0,0.054
194,m1A,0,0.035
195,m1A,0,0.064
196,m1A,0,0.165
197,m1A,0,0.15
198,m1A,0,0.064
199,m1A,0,0.07
200,m1A,0,0.04
201,m1A,0,0.052
202,m6A,0,0.093
203,m6A,0,0.115
204,m6A,0,0.085
205,m6A,0,0.063
206,m6A,0,0.06
207,m6A,0,0.09
208,m6A,0,0.069
209,m6A,0,0.117
210,m6A,0,0.106
211,m6A,0,0.075
212,m6A,0,0.054
213,m6A,0,0.089
214,m6A,0,0.053
215,m6A,0,0.133
216,m6A,0,0.081
217,m6A,0,0.077
218,m6A,0,0.072
219,m6A,0,0.065
220,m6A,0,0.069
221,m6A,0,0.105
222,m6A,0,0.084
223,m6A,0,0.044
224,m6A,0,0.072
225,m6A,0,0.073
226,m6A,0,0.061
227,m6A,0,0.061
228,m6A,0,0.078
229,m6A,0,0.038
230,m6A,0,0.093
231,m6A,0,0.102
232,m6A,0,0.084
233,m6A,0,0.084
234,m6A,0,0.063
235,m6A,0,0.086
236,m6A,0,0.074
237,m6A,0,0.05
238,m6A,0,0.059
239,m6A,0,0.047
240,m6A,0,0.075
241,m6A,0,0.115
242,m6A,0,0.199
243,m6A,0,0.112
244,m6A,0,0.054
245,m6A,0,0.104
246,m6A,0,0.164
247,m6A,0,0.119
248,m6A,0,0.079
249,m6A,0,0.065
250,m6A,0,0.09
251,m6A,0,0.065
252,m6A,0,0.078
253,m6A,0,0.092
254,m6A,0,0.113
255,m6A,0,0.123
256,m6A,0,0.064
257,m6A,0,0.053
258,m6A,0,0.089
259,m6A,0,0.061
260,m6A,0,0.06
261,m6A,0,0.151
262,m6A,0,0.081
263,m6A,0,0.062
264,m6A,0,0.043
265,m6A,0,0.047
266,m6A,0,0.052
267,m6A,0,0.096
268,m6A,0,0.077
269,m6A,0,0.064
270,m6A,0,0.057
271,m6A,0,0.1
272,m6A,0,0.054
273,m6A,0,0.063
274,m6A,0,0.158
275,m6A,0,0.097
276,m6A,0,0.065
277,m6A,0,0.091
278,m6A,0,0.106
279,m6A,0,0.088
280,m6A,0,0.087
281,m6A,0,0.067
282,m6A,0,0.055
283,m6A,0,0.139
284,m6A,0,0.042
285,m6A,0,0.048
286,m6A,0,0.041
287,m6A,0,0.108
288,m6A,0,0.065
289,m6A,0,0.06
290,m6A,0,0.058
291,m6A,0,0.104
292,m6A,0,0.05
293,m6A,0,0.081
294,m6A,0,0.055
295,m6A,0,0.076
296,m6A,0,0.04
297,m6A,0,0.067
298,m6A,0,0.053
299,m6A,0,0.049
300,m6A,0,0.954
301,m6A,0,0.092
302,m6A,0,0.055
