,label,variable,value
0,C,0,0.047
1,C,0,-1.022
2,C,0,0.163
3,C,0,-0.782
4,C,0,-0.271
5,C,0,0.073
6,C,0,-0.091
7,C,0,-0.686
8,C,0,-0.752
9,C,0,-0.112
10,C,0,0.036
11,C,0,0.028
12,C,0,-0.077
13,C,0,-0.161
14,C,0,-0.866
15,C,0,0.069
16,C,0,-0.055
17,C,0,-1.282
18,C,0,0.333
19,C,0,-0.621
20,C,0,0.033
21,C,0,-0.333
22,C,0,-0.13
23,C,0,-0.07
24,C,0,0.005
25,C,0,-0.123
26,C,0,-0.301
27,C,0,-0.436
28,C,0,-0.147
29,C,0,-0.225
30,C,0,-0.229
31,C,0,-0.335
32,C,0,-0.464
33,C,0,-0.253
34,C,0,-0.079
35,C,0,-0.131
36,C,0,-0.528
37,C,0,0.202
38,C,0,-0.447
39,C,0,0.0
40,C,0,-0.017
41,C,0,-0.03
42,C,0,-0.053
43,C,0,-0.009
44,C,0,0.217
45,C,0,-0.162
46,C,0,-0.041
47,C,0,-0.172
48,C,0,0.081
49,C,0,-0.348
50,C,0,-0.609
51,C,0,-0.293
52,C,0,0.124
53,C,0,-0.68
54,C,0,0.024
55,C,0,-0.111
56,C,0,-0.062
57,C,0,0.135
58,C,0,-0.038
59,C,0,-0.438
60,C,0,0.071
61,C,0,0.074
62,C,0,-0.422
63,C,0,-0.687
64,C,0,-0.222
65,C,0,0.03
66,C,0,0.226
67,C,0,0.036
68,C,0,-0.157
69,C,0,-0.044
70,C,0,-0.323
71,C,0,0.011
72,C,0,-0.039
73,C,0,-0.007
74,C,0,0.051
75,C,0,-0.076
76,C,0,-0.015
77,C,0,-0.598
78,C,0,0.122
79,C,0,-0.372
80,C,0,0.008
81,C,0,0.042
82,C,0,-0.205
83,C,0,0.121
84,C,0,-0.101
85,C,0,0.094
86,C,0,-0.041
87,C,0,0.17
88,C,0,-0.192
89,C,0,-0.074
90,C,0,-0.244
91,C,0,-0.135
92,C,0,-0.423
93,C,0,0.079
94,C,0,0.135
95,C,0,0.109
96,C,0,0.148
97,C,0,-0.169
98,C,0,0.086
99,C,0,-0.151
100,C,0,0.349
101,m5C,0,-0.076
102,m5C,0,-0.395
103,m5C,0,-0.292
104,m5C,0,0.078
105,m5C,0,-0.026
106,m5C,0,0.133
107,m5C,0,0.018
108,m5C,0,0.151
109,m5C,0,0.134
110,m5C,0,0.232
111,m5C,0,0.098
112,m5C,0,0.169
113,m5C,0,0.089
114,m5C,0,0.002
115,m5C,0,-0.18
116,m5C,0,-0.116
117,m5C,0,0.186
118,m5C,0,0.251
119,m5C,0,0.253
120,m5C,0,-0.171
121,m5C,0,-0.18
122,m5C,0,-0.407
123,m5C,0,-0.049
124,m5C,0,0.251
125,m5C,0,0.271
126,m5C,0,-1.125
127,m5C,0,0.093
128,m5C,0,-0.094
129,m5C,0,-0.249
130,m5C,0,-0.072
131,m5C,0,-0.207
132,m5C,0,0.275
133,m5C,0,-0.348
134,m5C,0,-0.222
135,m5C,0,0.369
136,m5C,0,0.141
137,m5C,0,-0.173
138,m5C,0,0.234
139,m5C,0,-0.57
140,m5C,0,0.113
141,m5C,0,0.054
142,m5C,0,0.221
143,m5C,0,-0.004
144,m5C,0,-0.123
145,m5C,0,-0.489
146,m5C,0,0.171
147,m5C,0,0.254
148,m5C,0,-0.266
149,m5C,0,-0.038
150,m5C,0,-0.4
151,m5C,0,0.078
152,m5C,0,-0.187
153,m5C,0,-0.28
154,m5C,0,-0.194
155,m5C,0,0.019
156,m5C,0,-0.079
157,m5C,0,0.104
158,m5C,0,-0.029
159,m5C,0,-0.346
160,m5C,0,-0.061
161,m5C,0,-0.729
162,m5C,0,0.221
163,m5C,0,0.305
164,m5C,0,0.075
165,m5C,0,0.099
166,m5C,0,-0.26
167,m5C,0,0.067
168,m5C,0,0.118
169,m5C,0,-0.034
170,m5C,0,0.022
171,m5C,0,-0.027
172,m5C,0,0.141
173,m5C,0,-0.089
174,m5C,0,-0.316
175,m5C,0,-0.063
176,m5C,0,0.116
177,m5C,0,-0.042
178,m5C,0,-0.055
179,m5C,0,-0.248
180,m5C,0,-0.038
181,m5C,0,0.14
182,m5C,0,-0.325
183,m5C,0,-0.269
184,m5C,0,-0.061
185,m5C,0,-0.703
186,m5C,0,0.121
187,m5C,0,-0.018
188,m5C,0,0.221
189,m5C,0,0.23
190,m5C,0,0.137
191,m5C,0,-0.16
192,m5C,0,0.072
193,m5C,0,-0.155
194,m5C,0,0.261
195,m5C,0,0.11
196,m5C,0,0.062
197,m5C,0,0.137
198,m5C,0,0.357
199,m5C,0,0.284
200,m5C,0,-0.019
201,m5C,0,-0.064
202,hm5C,0,-0.101
203,hm5C,0,0.063
204,hm5C,0,0.195
205,hm5C,0,-0.01
206,hm5C,0,0.03
207,hm5C,0,0.123
208,hm5C,0,-0.067
209,hm5C,0,-0.237
210,hm5C,0,-0.083
211,hm5C,0,0.151
212,hm5C,0,0.103
213,hm5C,0,-0.247
214,hm5C,0,0.393
215,hm5C,0,0.146
216,hm5C,0,0.061
217,hm5C,0,0.141
218,hm5C,0,0.357
219,hm5C,0,0.009
220,hm5C,0,-0.419
221,hm5C,0,-0.007
222,hm5C,0,-0.084
223,hm5C,0,0.034
224,hm5C,0,0.254
225,hm5C,0,0.428
226,hm5C,0,0.361
227,hm5C,0,0.311
228,hm5C,0,-0.128
229,hm5C,0,0.128
230,hm5C,0,-0.253
231,hm5C,0,-0.644
232,hm5C,0,0.386
233,hm5C,0,0.086
234,hm5C,0,0.232
235,hm5C,0,0.153
236,hm5C,0,0.132
237,hm5C,0,0.12
238,hm5C,0,-0.167
239,hm5C,0,-0.504
240,hm5C,0,0.025
241,hm5C,0,0.388
242,hm5C,0,0.084
243,hm5C,0,-0.62
244,hm5C,0,0.294
245,hm5C,0,0.049
246,hm5C,0,0.065
247,hm5C,0,0.027
248,hm5C,0,0.105
249,hm5C,0,0.441
250,hm5C,0,0.288
251,hm5C,0,0.052
252,hm5C,0,0.053
253,hm5C,0,-0.21
254,hm5C,0,-0.466
255,hm5C,0,-0.697
256,hm5C,0,0.257
257,hm5C,0,0.2
258,hm5C,0,-0.007
259,hm5C,0,0.131
260,hm5C,0,0.005
261,hm5C,0,-0.476
262,hm5C,0,-0.539
263,hm5C,0,0.138
264,hm5C,0,0.0
265,hm5C,0,-0.082
266,hm5C,0,0.036
267,hm5C,0,0.213
268,hm5C,0,-0.033
269,hm5C,0,0.044
270,hm5C,0,0.304
271,hm5C,0,0.098
272,hm5C,0,0.697
273,hm5C,0,-0.503
274,hm5C,0,-0.736
275,hm5C,0,0.383
276,hm5C,0,0.103
277,hm5C,0,-0.094
278,hm5C,0,-0.204
279,hm5C,0,-0.62
280,hm5C,0,0.002
281,hm5C,0,0.048
282,hm5C,0,0.328
283,hm5C,0,-0.048
284,hm5C,0,-0.309
285,hm5C,0,-0.216
286,hm5C,0,-0.257
287,hm5C,0,0.081
288,hm5C,0,0.229
289,hm5C,0,0.659
290,hm5C,0,0.075
291,hm5C,0,0.391
292,hm5C,0,-0.184
293,hm5C,0,0.119
294,hm5C,0,0.353
295,hm5C,0,0.904
296,hm5C,0,-0.164
297,hm5C,0,0.053
298,hm5C,0,-0.129
299,hm5C,0,-0.232
300,hm5C,0,0.005
301,hm5C,0,-0.309
302,hm5C,0,0.127
