,label,variable,value
0,G,0,-0.359
1,G,0,-0.111
2,G,0,-0.185
3,G,0,-0.373
4,G,0,-0.319
5,G,0,-0.245
6,G,0,-0.249
7,G,0,-0.292
8,G,0,-0.257
9,G,0,-0.421
10,G,0,-0.284
11,G,0,-0.212
12,G,0,-0.418
13,G,0,-0.28
14,G,0,-0.262
15,G,0,-0.299
16,G,0,-0.331
17,G,0,-0.212
18,G,0,-0.424
19,G,0,-0.438
20,G,0,-0.277
21,G,0,-0.762
22,G,0,-0.509
23,G,0,-0.356
24,G,0,-0.466
25,G,0,-0.314
26,G,0,-0.376
27,G,0,-0.225
28,G,0,-0.287
29,G,0,-0.22
30,G,0,-0.348
31,G,0,-0.242
32,G,0,-0.521
33,G,0,-0.267
34,G,0,-0.261
35,G,0,-0.224
36,G,0,-0.307
37,G,0,-0.448
38,G,0,-0.303
39,G,0,-0.386
40,G,0,-0.396
41,G,0,-0.399
42,G,0,-0.252
43,G,0,-0.263
44,G,0,-0.444
45,G,0,-0.287
46,G,0,-0.336
47,G,0,-0.413
48,G,0,-0.358
49,G,0,-0.259
50,G,0,-0.289
51,G,0,-0.269
52,G,0,-0.42
53,G,0,-0.288
54,G,0,-0.221
55,G,0,-0.186
56,G,0,-0.262
57,G,0,-0.373
58,G,0,-0.333
59,G,0,-0.329
60,G,0,-0.393
61,G,0,-0.285
62,G,0,-0.345
63,G,0,-0.491
64,G,0,-0.255
65,G,0,-0.404
66,G,0,-0.319
67,G,0,-0.25
68,G,0,-0.213
69,G,0,-0.428
70,G,0,-0.235
71,G,0,-0.223
72,G,0,-0.282
73,G,0,-0.356
74,G,0,-0.378
75,G,0,-0.343
76,G,0,-0.318
77,G,0,-0.399
78,G,0,-0.367
79,G,0,-0.397
80,G,0,-0.293
81,G,0,-0.427
82,G,0,-0.26
83,G,0,-0.267
84,G,0,-0.279
85,G,0,-0.218
86,G,0,-0.098
87,G,0,-0.442
88,G,0,-0.386
89,G,0,-0.188
90,G,0,-0.337
91,G,0,-0.345
92,G,0,-0.397
93,G,0,-0.295
94,G,0,-0.497
95,G,0,-0.379
96,G,0,-0.288
97,G,0,-0.096
98,G,0,-0.182
99,G,0,-0.259
100,G,0,-0.273
101,m7G,0,-0.515
102,m7G,0,-0.461
103,m7G,0,-0.297
104,m7G,0,-0.211
105,m7G,0,-0.169
106,m7G,0,-0.013
107,m7G,0,0.035
108,m7G,0,-0.267
109,m7G,0,-0.236
110,m7G,0,-0.373
111,m7G,0,-0.033
112,m7G,0,-0.381
113,m7G,0,-0.374
114,m7G,0,-0.359
115,m7G,0,-0.067
116,m7G,0,-0.045
117,m7G,0,-0.249
118,m7G,0,-0.051
119,m7G,0,-0.103
120,m7G,0,-0.376
121,m7G,0,-0.315
122,m7G,0,-0.328
123,m7G,0,-0.264
124,m7G,0,-0.361
125,m7G,0,0.205
126,m7G,0,0.034
127,m7G,0,-0.249
128,m7G,0,0.017
129,m7G,0,-0.099
130,m7G,0,-0.44
131,m7G,0,-0.222
132,m7G,0,-0.448
133,m7G,0,0.093
134,m7G,0,-0.135
135,m7G,0,-0.071
136,m7G,0,-0.346
137,m7G,0,0.018
138,m7G,0,-0.367
139,m7G,0,0.111
140,m7G,0,0.063
141,m7G,0,0.373
142,m7G,0,-0.082
143,m7G,0,-0.048
144,m7G,0,-0.301
145,m7G,0,0.092
146,m7G,0,-0.343
147,m7G,0,-0.309
148,m7G,0,-0.066
149,m7G,0,-0.242
150,m7G,0,-0.12
151,m7G,0,-0.137
152,m7G,0,0.189
153,m7G,0,-0.429
154,m7G,0,-0.024
155,m7G,0,-0.369
156,m7G,0,0.068
157,m7G,0,-0.268
158,m7G,0,-0.01
159,m7G,0,-0.453
160,m7G,0,-0.111
161,m7G,0,-0.268
162,m7G,0,-0.268
163,m7G,0,-0.002
164,m7G,0,-0.097
165,m7G,0,-0.229
166,m7G,0,-0.06
167,m7G,0,-0.367
168,m7G,0,-0.247
169,m7G,0,0.019
170,m7G,0,-0.028
171,m7G,0,-0.124
172,m7G,0,0.03
173,m7G,0,-0.161
174,m7G,0,0.117
175,m7G,0,-0.152
176,m7G,0,-0.223
177,m7G,0,-0.285
178,m7G,0,-0.098
179,m7G,0,-0.688
180,m7G,0,0.006
181,m7G,0,-0.663
182,m7G,0,-0.192
183,m7G,0,0.28
184,m7G,0,-0.174
185,m7G,0,-0.377
186,m7G,0,-0.241
187,m7G,0,-0.348
188,m7G,0,-0.07
189,m7G,0,-0.373
190,m7G,0,-0.612
191,m7G,0,-0.253
192,m7G,0,-0.423
193,m7G,0,-0.153
194,m7G,0,-0.299
195,m7G,0,-0.13
196,m7G,0,-0.06
197,m7G,0,-0.591
198,m7G,0,0.141
199,m7G,0,-0.355
200,m7G,0,-0.254
201,m7G,0,0.03
