,label,variable,value
0,U,0,55.0
1,U,0,35.0
2,U,0,14.0
3,U,0,34.0
4,U,0,16.0
5,U,0,34.0
6,U,0,26.0
7,U,0,48.0
8,U,0,26.0
9,U,0,6.0
10,U,0,95.0
11,U,0,37.0
12,U,0,26.0
13,U,0,29.0
14,U,0,41.0
15,U,0,44.0
16,U,0,57.0
17,U,0,12.0
18,U,0,33.0
19,U,0,39.0
20,U,0,44.0
21,U,0,19.0
22,U,0,65.0
23,U,0,24.0
24,U,0,61.0
25,U,0,48.0
26,U,0,21.0
27,U,0,55.0
28,U,0,57.0
29,U,0,12.0
30,U,0,6.0
31,U,0,54.0
32,U,0,32.0
33,U,0,13.0
34,U,0,15.0
35,U,0,45.0
36,U,0,27.0
37,U,0,29.0
38,U,0,150.0
39,U,0,17.0
40,U,0,21.0
41,U,0,24.0
42,U,0,71.0
43,U,0,64.0
44,U,0,6.0
45,U,0,31.0
46,U,0,19.0
47,U,0,12.0
48,U,0,6.0
49,U,0,6.0
50,U,0,16.0
51,U,0,17.0
52,U,0,20.0
53,U,0,62.0
54,U,0,68.0
55,U,0,15.0
56,U,0,6.0
57,U,0,74.0
58,U,0,32.0
59,U,0,51.0
60,U,0,43.0
61,U,0,23.0
62,U,0,35.0
63,U,0,31.0
64,U,0,6.0
65,U,0,7.0
66,U,0,14.0
67,U,0,49.0
68,U,0,17.0
69,U,0,13.0
70,U,0,20.0
71,U,0,26.0
72,U,0,30.0
73,U,0,38.0
74,U,0,29.0
75,U,0,34.0
76,U,0,29.0
77,U,0,23.0
78,U,0,150.0
79,U,0,15.0
80,U,0,52.0
81,U,0,40.0
82,U,0,39.0
83,U,0,22.0
84,U,0,13.0
85,U,0,82.0
86,U,0,51.0
87,U,0,66.0
88,U,0,67.0
89,U,0,30.0
90,U,0,20.0
91,U,0,37.0
92,U,0,6.0
93,U,0,26.0
94,U,0,33.0
95,U,0,39.0
96,U,0,22.0
97,U,0,18.0
98,U,0,12.0
99,U,0,20.0
100,U,0,6.0
101,  Ψ ,0,21.0
102,  Ψ ,0,12.0
103,  Ψ ,0,19.0
104,  Ψ ,0,15.0
105,  Ψ ,0,43.0
106,  Ψ ,0,46.0
107,  Ψ ,0,9.0
108,  Ψ ,0,64.0
109,  Ψ ,0,25.0
110,  Ψ ,0,74.0
111,  Ψ ,0,31.0
112,  Ψ ,0,32.0
113,  Ψ ,0,73.0
114,  Ψ ,0,83.0
115,  Ψ ,0,30.0
116,  Ψ ,0,60.0
117,  Ψ ,0,18.0
118,  Ψ ,0,29.0
119,  Ψ ,0,36.0
120,  Ψ ,0,22.0
121,  Ψ ,0,27.0
122,  Ψ ,0,6.0
123,  Ψ ,0,32.0
124,  Ψ ,0,16.0
125,  Ψ ,0,68.0
126,  Ψ ,0,63.0
127,  Ψ ,0,30.0
128,  Ψ ,0,64.0
129,  Ψ ,0,48.0
130,  Ψ ,0,25.0
131,  Ψ ,0,57.0
132,  Ψ ,0,46.0
133,  Ψ ,0,26.0
134,  Ψ ,0,36.0
135,  Ψ ,0,96.0
136,  Ψ ,0,15.0
137,  Ψ ,0,63.0
138,  Ψ ,0,15.0
139,  Ψ ,0,37.0
140,  Ψ ,0,12.0
141,  Ψ ,0,13.0
142,  Ψ ,0,53.0
143,  Ψ ,0,46.0
144,  Ψ ,0,13.0
145,  Ψ ,0,12.0
146,  Ψ ,0,18.0
147,  Ψ ,0,46.0
148,  Ψ ,0,84.0
149,  Ψ ,0,13.0
150,  Ψ ,0,43.0
151,  Ψ ,0,79.0
152,  Ψ ,0,131.0
153,  Ψ ,0,28.0
154,  Ψ ,0,21.0
155,  Ψ ,0,36.0
156,  Ψ ,0,12.0
157,  Ψ ,0,25.0
158,  Ψ ,0,12.0
159,  Ψ ,0,17.0
160,  Ψ ,0,28.0
161,  Ψ ,0,43.0
162,  Ψ ,0,58.0
163,  Ψ ,0,84.0
164,  Ψ ,0,55.0
165,  Ψ ,0,52.0
166,  Ψ ,0,28.0
167,  Ψ ,0,15.0
168,  Ψ ,0,41.0
169,  Ψ ,0,25.0
170,  Ψ ,0,12.0
171,  Ψ ,0,29.0
172,  Ψ ,0,10.0
173,  Ψ ,0,36.0
174,  Ψ ,0,150.0
175,  Ψ ,0,26.0
176,  Ψ ,0,145.0
177,  Ψ ,0,84.0
178,  Ψ ,0,25.0
179,  Ψ ,0,8.0
180,  Ψ ,0,138.0
181,  Ψ ,0,13.0
182,  Ψ ,0,8.0
183,  Ψ ,0,18.0
184,  Ψ ,0,6.0
185,  Ψ ,0,66.0
186,  Ψ ,0,19.0
187,  Ψ ,0,16.0
188,  Ψ ,0,53.0
189,  Ψ ,0,43.0
190,  Ψ ,0,49.0
191,  Ψ ,0,65.0
192,  Ψ ,0,59.0
193,  Ψ ,0,66.0
194,  Ψ ,0,16.0
195,  Ψ ,0,12.0
196,  Ψ ,0,35.0
197,  Ψ ,0,47.0
198,  Ψ ,0,85.0
199,  Ψ ,0,75.0
200,  Ψ ,0,23.0
201,  Ψ ,0,23.0
