,label,variable,value
0,U,0,0.037
1,U,0,0.043
2,U,0,0.067
3,U,0,0.05
4,U,0,0.035
5,U,0,0.059
6,U,0,0.051
7,U,0,0.059
8,U,0,0.061
9,U,0,0.077
10,U,0,0.076
11,U,0,0.057
12,U,0,0.06
13,U,0,0.076
14,U,0,0.047
15,U,0,0.053
16,U,0,0.06
17,U,0,0.06
18,U,0,0.043
19,U,0,0.055
20,U,0,0.083
21,U,0,0.045
22,U,0,0.057
23,U,0,0.065
24,U,0,0.04
25,U,0,0.057
26,U,0,0.058
27,U,0,0.077
28,U,0,0.043
29,U,0,0.094
30,U,0,0.073
31,U,0,0.058
32,U,0,0.041
33,U,0,0.022
34,U,0,0.036
35,U,0,0.044
36,U,0,0.104
37,U,0,0.051
38,U,0,0.054
39,U,0,0.064
40,U,0,0.13
41,U,0,0.038
42,U,0,0.058
43,U,0,0.05
44,U,0,0.089
45,U,0,0.048
46,U,0,0.028
47,U,0,0.078
48,U,0,0.101
49,U,0,0.098
50,U,0,0.055
51,U,0,0.054
52,U,0,0.051
53,U,0,0.05
54,U,0,0.046
55,U,0,0.043
56,U,0,0.057
57,U,0,0.038
58,U,0,0.042
59,U,0,0.079
60,U,0,0.042
61,U,0,0.065
62,U,0,0.072
63,U,0,0.048
64,U,0,0.044
65,U,0,0.058
66,U,0,0.08
67,U,0,0.093
68,U,0,0.045
69,U,0,0.096
70,U,0,0.036
71,U,0,0.03
72,U,0,0.052
73,U,0,0.047
74,U,0,0.049
75,U,0,0.049
76,U,0,0.034
77,U,0,0.279
78,U,0,0.057
79,U,0,0.057
80,U,0,0.047
81,U,0,0.073
82,U,0,0.066
83,U,0,0.057
84,U,0,0.069
85,U,0,0.054
86,U,0,0.051
87,U,0,0.057
88,U,0,0.06
89,U,0,0.045
90,U,0,0.051
91,U,0,0.051
92,U,0,0.049
93,U,0,0.05
94,U,0,0.044
95,U,0,0.064
96,U,0,0.05
97,U,0,0.051
98,U,0,0.102
99,U,0,0.036
100,U,0,0.044
101,  Ψ ,0,0.049
102,  Ψ ,0,0.082
103,  Ψ ,0,0.054
104,  Ψ ,0,0.054
105,  Ψ ,0,0.072
106,  Ψ ,0,0.042
107,  Ψ ,0,0.06
108,  Ψ ,0,0.109
109,  Ψ ,0,0.071
110,  Ψ ,0,0.088
111,  Ψ ,0,0.046
112,  Ψ ,0,0.037
113,  Ψ ,0,0.141
114,  Ψ ,0,0.155
115,  Ψ ,0,0.102
116,  Ψ ,0,0.059
117,  Ψ ,0,0.074
118,  Ψ ,0,0.045
119,  Ψ ,0,0.053
120,  Ψ ,0,0.124
121,  Ψ ,0,0.074
122,  Ψ ,0,0.035
123,  Ψ ,0,0.065
124,  Ψ ,0,0.066
125,  Ψ ,0,0.077
126,  Ψ ,0,0.092
127,  Ψ ,0,0.077
128,  Ψ ,0,0.044
129,  Ψ ,0,0.055
130,  Ψ ,0,0.086
131,  Ψ ,0,0.087
132,  Ψ ,0,0.043
133,  Ψ ,0,0.05
134,  Ψ ,0,0.096
135,  Ψ ,0,0.151
136,  Ψ ,0,0.082
137,  Ψ ,0,0.06
138,  Ψ ,0,0.067
139,  Ψ ,0,0.057
140,  Ψ ,0,0.144
141,  Ψ ,0,0.084
142,  Ψ ,0,0.05
143,  Ψ ,0,0.054
144,  Ψ ,0,0.021
145,  Ψ ,0,0.097
146,  Ψ ,0,0.113
147,  Ψ ,0,0.097
148,  Ψ ,0,0.18
149,  Ψ ,0,0.031
150,  Ψ ,0,0.112
151,  Ψ ,0,0.055
152,  Ψ ,0,0.109
153,  Ψ ,0,0.051
154,  Ψ ,0,0.039
155,  Ψ ,0,0.05
156,  Ψ ,0,0.114
157,  Ψ ,0,0.135
158,  Ψ ,0,0.119
159,  Ψ ,0,0.041
160,  Ψ ,0,0.048
161,  Ψ ,0,0.042
162,  Ψ ,0,0.037
163,  Ψ ,0,0.051
164,  Ψ ,0,0.059
165,  Ψ ,0,0.05
166,  Ψ ,0,0.048
167,  Ψ ,0,0.048
168,  Ψ ,0,0.044
169,  Ψ ,0,0.039
170,  Ψ ,0,0.099
171,  Ψ ,0,0.058
172,  Ψ ,0,0.132
173,  Ψ ,0,0.065
174,  Ψ ,0,0.113
175,  Ψ ,0,0.058
176,  Ψ ,0,0.045
177,  Ψ ,0,0.043
178,  Ψ ,0,0.055
179,  Ψ ,0,0.032
180,  Ψ ,0,0.09
181,  Ψ ,0,0.053
182,  Ψ ,0,0.085
183,  Ψ ,0,0.06
184,  Ψ ,0,0.106
185,  Ψ ,0,0.138
186,  Ψ ,0,0.056
187,  Ψ ,0,0.056
188,  Ψ ,0,0.051
189,  Ψ ,0,0.127
190,  Ψ ,0,0.048
191,  Ψ ,0,0.136
192,  Ψ ,0,0.055
193,  Ψ ,0,0.051
194,  Ψ ,0,0.042
195,  Ψ ,0,0.076
196,  Ψ ,0,0.088
197,  Ψ ,0,0.054
198,  Ψ ,0,0.055
199,  Ψ ,0,0.05
200,  Ψ ,0,0.091
201,  Ψ ,0,0.046
