,Umap1,Umap2,label,G
0,5.7981195,8.83091,G,0
1,4.426363,10.13335,G,0
2,4.391137,8.151573,G,0
3,6.269009,9.426107,G,0
4,6.579075,9.3693495,G,0
5,4.4343576,9.542278,G,0
6,6.6212516,8.881521,G,0
7,3.449883,7.3691006,G,0
8,4.5569577,8.954955,G,0
9,6.780601,10.02069,G,0
10,7.0421414,10.101809,G,0
11,2.584498,7.857017,G,0
12,5.3209443,10.446212,G,0
13,6.339097,8.944754,G,0
14,6.198809,10.737315,G,0
15,5.243854,8.543228,G,0
16,4.284649,7.7814097,G,0
17,1.614853,6.906199,G,0
18,0.9175899,5.671317,G,0
19,7.0764766,9.455865,G,0
20,1.8136659,6.644685,G,0
21,3.7213411,7.037844,G,0
22,3.9624603,9.661122,G,0
23,4.8069963,9.776835,G,0
24,5.2818003,9.2532015,G,0
25,5.230329,8.291915,G,0
26,6.008522,10.996066,G,0
27,1.8262128,6.5409484,G,0
28,6.324447,9.565639,G,0
29,4.6855545,8.946085,G,0
30,7.2575817,9.731337,G,0
31,4.3406706,9.196996,G,0
32,6.5058165,10.09637,G,0
33,7.066065,9.328227,G,0
34,5.802019,9.271358,G,0
35,4.1671557,7.256441,G,0
36,5.954652,9.421338,G,0
37,6.854171,10.429438,G,0
38,1.254897,6.357139,G,0
39,2.393587,7.796167,G,0
40,5.8638177,10.008736,G,0
41,2.8204503,6.8455844,G,0
42,6.7676926,9.811818,G,0
43,6.582098,10.985215,G,0
44,5.9004107,9.289432,G,0
45,5.7208905,8.378676,G,0
46,6.100213,10.803774,G,0
47,5.184782,9.60474,G,0
48,3.1455405,8.508945,G,0
49,7.1387734,10.408771,G,0
50,3.255891,7.340504,G,0
51,4.7134657,8.337081,G,0
52,5.055096,7.9600263,G,0
53,4.3190556,7.655326,G,0
54,5.092636,8.75514,G,0
55,7.442314,10.26532,G,0
56,6.0850196,9.828836,G,0
57,5.7827563,10.704778,G,0
58,2.7449648,6.4954424,G,0
59,6.576406,9.285584,G,0
60,4.6686335,7.095009,G,0
61,4.895039,8.952964,G,0
62,6.8356614,9.937379,G,0
63,-0.6113665,3.9965825,G,0
64,7.3582377,9.987567,G,0
65,1.9885758,5.806043,G,0
66,3.4789433,7.4626093,G,0
67,6.166349,8.964037,G,0
68,7.397853,9.931542,G,0
69,7.1552114,10.1200905,G,0
70,7.314386,10.375461,G,0
71,6.2510037,9.383565,G,0
72,2.487617,7.7754664,G,0
73,3.76139,8.844939,G,0
74,6.4159975,11.052956,G,0
75,6.148759,9.014393,G,0
76,4.4358826,7.117596,G,0
77,3.1269777,7.7790985,G,0
78,7.3339934,10.425315,G,0
79,6.494403,9.681199,G,0
80,5.562616,8.337998,G,0
81,2.986973,7.3543057,G,0
82,5.555719,8.918933,G,0
83,4.8780475,7.921627,G,0
84,6.498058,9.651669,G,0
85,3.122217,7.1795306,G,0
86,4.423454,8.713932,G,0
87,2.485772,8.016517,G,0
88,0.97121143,5.9061804,G,0
89,5.0889835,7.7765594,G,0
90,4.52786,9.967863,G,0
