,Umap1,Umap2,label,A
0,1.337609,3.9441366,C,0
1,7.179059,10.090708,C,0
2,1.8319782,3.4198427,C,0
3,3.9781482,9.652272,C,0
4,-1.625692,4.3997226,C,0
5,0.4090144,3.982565,C,0
6,2.0091343,2.5374165,C,0
7,3.3311508,3.8927875,C,0
8,5.3756948,9.428619,C,0
9,3.7193701,4.31643,C,0
10,4.3511868,9.646969,C,0
11,2.779997,3.784617,C,0
12,3.9217644,3.7309837,C,0
13,0.4026856,4.404994,C,0
14,4.3274546,9.399288,C,0
15,-0.4860976,4.1789613,C,0
16,6.742747,9.373573,C,0
17,1.0874199,3.0805902,C,0
18,4.7660646,9.434339,C,0
19,-0.5895541,4.194592,C,0
20,-1.8854823,4.1485047,C,0
21,3.4355114,4.1698847,C,0
22,1.6805911,3.7039113,C,0
23,2.2712028,3.7492578,C,0
24,-4.63962,4.6488094,C,0
25,-1.7895166,4.887488,C,0
26,4.1163673,3.625406,C,0
27,2.4390619,4.000916,C,0
28,-1.0430343,4.115396,C,0
29,2.6690571,4.0423574,C,0
30,3.7891178,3.4135225,C,0
31,-2.2537565,4.447,C,0
32,0.33234665,3.5668368,C,0
33,1.4146862,4.069703,C,0
34,5.119834,8.489833,C,0
35,2.242748,3.726762,C,0
36,3.8046873,3.828378,C,0
37,6.572661,9.223445,C,0
38,2.0447733,3.9324553,C,0
39,4.024962,3.8526878,C,0
40,1.1437777,3.0858548,C,0
41,4.3235135,3.781743,C,0
42,1.3393685,4.617258,C,0
43,7.263456,10.183184,C,0
44,2.9781806,3.6680434,C,0
45,-4.6281166,4.5285206,C,0
46,0.60627794,4.350603,C,0
47,2.9946187,3.344171,C,0
48,3.7509024,3.4121842,C,0
49,4.2595906,10.151186,C,0
50,1.8462329,4.333558,C,0
51,4.7683797,9.430383,C,0
52,-2.9909298,4.088092,C,0
53,5.334253,8.54211,C,0
54,7.4989557,10.132081,C,0
55,0.46366435,3.8616521,C,0
56,1.7272315,3.8621633,C,0
57,3.1583257,3.794738,C,0
58,4.321508,3.865133,C,0
59,3.788449,3.9844506,C,0
60,0.69017965,4.3891587,C,0
61,4.7880883,9.103875,C,0
62,3.2803326,3.2186956,C,0
63,1.911311,3.8751705,C,0
64,2.8360345,2.9849353,C,0
65,1.2611389,4.6170993,C,0
66,0.96042335,5.4137797,C,0
67,-0.53522223,4.6923494,C,0
68,3.682447,3.815299,C,0
69,-1.1802828,3.7657447,C,0
70,3.8520584,3.7977054,C,0
71,1.519267,3.0930994,C,0
72,-0.64620775,4.184263,C,0
73,-3.071694,4.393257,C,0
74,-0.29219577,3.82639,C,0
75,-2.2897954,4.66698,C,0
76,6.488706,9.645575,C,0
77,0.17537951,3.8056037,C,0
78,-2.3122294,3.9366264,C,0
79,-2.8406322,4.4409723,C,0
