,Umap1,Umap2,label,A
0,-4.014172,-1.1617467,U,0
1,-5.562608,-0.355741,U,0
2,-5.632851,-0.4084839,U,0
3,-3.9613943,-0.4015747,U,0
4,-1.6203778,1.0150205,U,0
5,-1.8723001,0.8926731,U,0
6,-1.4107999,-0.5816794,U,0
7,-4.730588,0.8305652,U,0
8,-1.0247275,0.55207,U,0
9,-4.032716,0.14038971,U,0
10,-1.6521183,0.9851068,U,0
11,-0.6555332,0.5850779,U,0
12,-2.7937436,-0.8728085,U,0
13,-5.203416,0.09680808,U,0
14,0.028600816,-0.7379761,U,0
15,-0.34313014,0.22317925,U,0
16,-1.9300953,-0.60440814,U,0
17,-2.667845,-1.2668067,U,0
18,1.9425513,0.08034538,U,0
19,-2.4326715,-0.45771357,U,0
20,6.7107477,1.6959988,U,0
21,-2.2180443,-1.140402,U,0
22,-0.77927977,0.7098043,U,0
23,0.7091561,-0.47714052,U,0
24,-1.0309839,-0.8538684,U,0
25,-6.013039,0.10447961,U,0
26,-2.55217,0.06830503,U,0
27,0.4610656,-0.63388735,U,0
28,-4.9622216,-0.50471604,U,0
29,-0.72573584,-0.47802225,U,0
30,-1.8506626,-0.42994267,U,0
31,-2.2383282,-0.44348875,U,0
32,-1.5670735,0.8956733,U,0
33,-4.871004,0.8667762,U,0
34,1.8399428,0.05893196,U,0
35,-5.113585,0.23271196,U,0
36,-4.556604,-0.64285916,U,0
37,0.21163818,-0.6907759,U,0
38,-4.8336854,-0.6249116,U,0
39,-1.2891997,0.4229476,U,0
40,-4.9760127,0.709121,U,0
41,-1.571276,-0.9567566,U,0
42,-5.0302796,-0.31236473,U,0
43,-2.1546652,-0.5782692,U,0
44,-0.0009884917,0.20673062,U,0
45,-3.1395588,-0.711837,U,0
46,-1.4490014,-0.5650553,U,0
47,-0.40529546,-0.15752041,U,0
48,0.59393716,-0.39996472,U,0
49,-2.6166546,-0.25825667,U,0
50,-2.989223,-0.74030393,U,0
51,-0.626012,-0.8573182,U,0
52,-1.2863287,-0.5457798,U,0
53,-5.3681064,-0.56995404,U,0
54,-2.8064392,-1.0531237,U,0
55,-1.2340788,0.83677286,U,0
56,-4.572991,-0.74119824,U,0
57,-4.719475,-0.5876089,U,0
58,-4.6667547,-0.6661917,U,0
59,-2.2441683,-0.19614771,U,0
60,-4.5198603,-0.67868793,U,0
61,0.15173903,-0.4834159,U,0
62,-4.0954757,-0.8517009,U,0
63,-0.78501904,-0.7579361,U,0
64,-4.924068,0.6621402,U,0
65,-4.4763727,0.7454365,U,0
66,-0.75467074,0.7168211,U,0
67,-3.734274,-0.8928599,U,0
68,-3.1817489,-0.40490174,U,0
69,-0.61102325,-0.2468006,U,0
70,-2.4901972,-1.0443254,U,0
71,-1.2264179,-0.9775044,U,0
72,-5.9552097,-0.037488766,U,0
73,-3.2919922,-0.47673497,U,0
74,0.5298837,-0.4516504,U,0
75,-4.706422,-0.85810155,U,0
76,-5.651454,-0.31551468,U,0
77,-5.9609528,-0.056539208,U,0
78,-5.9027314,-0.05495403,U,0
79,-0.6276565,-0.45212752,U,0
80,-4.3642607,-0.75506264,U,0
81,0.5542008,-0.53572416,U,0
82,-5.3981514,-0.12157762,U,0
83,-1.5454911,1.034145,U,0
84,-3.4090166,-0.5336158,U,0
85,-1.5252488,0.9339341,U,0
86,-0.8456105,0.36684453,U,0
87,-3.1421824,-1.1274464,U,0
88,-1.320827,-0.46753034,U,0
89,0.52309626,-0.37961158,U,0
90,-0.85168153,0.09136847,U,0
91,-3.548892,-0.8025716,U,0
92,-2.4797509,-0.4152634,U,0
93,-3.1867392,-0.35087144,U,0
94,-2.126128,0.71588796,U,0
95,1.0653375,-0.099175505,U,0
96,-4.452624,-0.8493789,U,0
97,-3.1221142,-0.25217584,U,0
98,-3.0070608,-1.1668721,U,0
99,-4.887705,-0.9417686,U,0
100,-4.674599,-0.5366255,U,0
101,-1.3071828,0.16819029,U,0
102,-4.1133614,-0.4950336,U,0
103,-5.530611,-0.50705224,U,0
104,-5.9147377,-0.047875244,U,0
105,-5.200119,0.579981,U,0
106,-0.14858784,-0.7831453,U,0
107,-1.0484363,0.8729014,U,0
108,-1.2478514,-0.44138825,U,0
109,-1.3474661,-0.95838815,U,0
110,-1.5972077,0.8006261,U,0
111,0.9949194,-0.043522775,U,0
112,-3.2271824,-1.0918044,U,0
113,-0.3776393,-0.19200401,U,0
114,-3.175481,-0.6606885,U,0
115,-5.895157,-0.02827533,U,0
116,-3.747966,-0.66035134,U,0
117,-2.2298176,-0.6793607,U,0
118,-5.032149,-0.7888888,U,0
119,2.1043417,0.27650148,U,0
120,0.85818046,-0.1291205,U,0
121,-3.2379575,-0.9442975,U,0
122,1.2015831,-0.24843074,U,0
123,-0.965016,-0.8422084,U,0
124,-4.727696,0.78477526,U,0
125,0.33395052,-0.71244246,U,0
126,-0.20656013,-0.4279508,U,0
127,-5.150565,0.054700334,U,0
128,-4.74947,-0.7455842,U,0
129,-2.065311,-0.48665404,U,0
130,0.3048657,-0.56044585,U,0
131,-0.4010635,-0.29546747,U,0
132,-5.59754,-0.3241415,U,0
133,0.6714384,-0.29144892,U,0
134,-2.266741,-1.4294482,U,0
135,-0.53349054,0.37870315,U,0
136,-0.9719114,-0.7107715,U,0
137,0.30768615,-0.58986884,U,0
138,-3.5455537,-0.50544757,U,0
139,-3.5833564,-0.70684385,U,0
140,-4.0603724,-0.3821734,U,0
141,0.85339224,-0.13740627,U,0
142,-1.8152633,-0.952848,U,0
