,label,variable,value
0,A,0,-0.717
1,A,0,-0.72
2,A,0,-0.736
3,A,0,-0.713
4,A,0,-0.638
5,A,0,-0.699
6,A,0,-0.723
7,A,0,-0.604
8,A,0,-0.661
9,A,0,-0.511
10,A,0,-0.679
11,A,0,-0.635
12,A,0,-0.67
13,A,0,-0.825
14,A,0,-0.692
15,A,0,-0.677
16,A,0,-0.614
17,A,0,-0.548
18,A,0,-0.668
19,A,0,-0.741
20,A,0,-0.668
21,A,0,-0.691
22,A,0,-0.589
23,A,0,-0.613
24,A,0,-0.708
25,A,0,-0.715
26,A,0,-0.705
27,A,0,-0.779
28,A,0,-0.688
29,A,0,-0.668
30,A,0,-0.736
31,A,0,-0.689
32,A,0,-0.772
33,A,0,-0.705
34,A,0,-0.728
35,A,0,-0.758
36,A,0,-0.658
37,A,0,-0.67
38,A,0,-0.732
39,A,0,-0.654
40,A,0,-0.655
41,A,0,-0.838
42,A,0,-0.621
43,A,0,-0.706
44,A,0,-0.689
45,A,0,-0.672
46,A,0,-0.705
47,A,0,-0.728
48,A,0,-0.64
49,A,0,-0.658
50,A,0,-0.871
51,A,0,-0.67
52,A,0,-0.64
53,A,0,-0.645
54,A,0,-0.636
55,A,0,-0.69
56,A,0,-0.689
57,A,0,-0.829
58,A,0,-0.626
59,A,0,-0.641
60,A,0,-0.732
61,A,0,-0.683
62,A,0,-0.613
63,A,0,-0.624
64,A,0,-0.678
65,A,0,-0.712
66,A,0,-0.666
67,A,0,-0.473
68,A,0,-0.61
69,A,0,-0.666
70,A,0,-0.598
71,A,0,-0.698
72,A,0,-0.697
73,A,0,-0.661
74,A,0,-0.67
75,A,0,-0.601
76,A,0,-0.674
77,A,0,-0.668
78,A,0,-0.674
79,A,0,-0.477
80,A,0,-0.899
81,A,0,-0.711
82,A,0,-0.646
83,A,0,-0.723
84,A,0,-0.683
85,A,0,-0.672
86,A,0,-0.674
87,A,0,-0.638
88,A,0,-0.656
89,A,0,-0.624
90,A,0,-0.701
91,A,0,-0.624
92,A,0,-0.734
93,A,0,-0.751
94,A,0,-0.9
95,A,0,-0.706
96,A,0,-0.683
97,A,0,-0.733
98,A,0,0.087
99,A,0,-0.728
100,A,0,-0.558
101,m1A,0,-0.582
102,m1A,0,-0.698
103,m1A,0,-0.756
104,m1A,0,-0.048
105,m1A,0,-0.6
106,m1A,0,-0.463
107,m1A,0,-0.614
108,m1A,0,-0.639
109,m1A,0,-0.58
110,m1A,0,-0.555
111,m1A,0,-0.499
112,m1A,0,-0.556
113,m1A,0,-0.597
114,m1A,0,-0.594
115,m1A,0,-0.566
116,m1A,0,-0.596
117,m1A,0,-0.512
118,m1A,0,-0.442
119,m1A,0,-0.62
120,m1A,0,-0.666
121,m1A,0,-0.587
122,m1A,0,-0.759
123,m1A,0,-0.547
124,m1A,0,-0.721
125,m1A,0,-0.668
126,m1A,0,-0.8
127,m1A,0,-0.551
128,m1A,0,-0.62
129,m1A,0,-0.751
130,m1A,0,-0.737
131,m1A,0,-0.629
132,m1A,0,-0.639
133,m1A,0,-0.681
134,m1A,0,-0.459
135,m1A,0,-0.651
136,m1A,0,-0.599
137,m1A,0,-0.734
138,m1A,0,-0.685
139,m1A,0,-0.66
140,m1A,0,-0.747
141,m1A,0,-0.653
142,m1A,0,-0.708
143,m1A,0,-0.621
144,m1A,0,-0.591
145,m1A,0,-0.593
146,m1A,0,-0.672
147,m1A,0,-0.598
148,m1A,0,-0.622
149,m1A,0,-0.75
150,m1A,0,-0.647
151,m1A,0,-0.206
152,m1A,0,-0.626
153,m1A,0,-0.658
154,m1A,0,-0.794
155,m1A,0,-0.701
156,m1A,0,-0.608
157,m1A,0,-0.277
158,m1A,0,-0.605
159,m1A,0,-0.608
160,m1A,0,-0.636
161,m1A,0,-0.575
162,m1A,0,-0.621
163,m1A,0,-0.702
164,m1A,0,-0.707
165,m1A,0,-0.573
166,m1A,0,-0.602
167,m1A,0,-0.491
168,m1A,0,-0.511
169,m1A,0,-0.655
170,m1A,0,-0.66
171,m1A,0,-0.072
172,m1A,0,-0.717
173,m1A,0,-0.599
174,m1A,0,-0.58
175,m1A,0,-0.696
176,m1A,0,-0.638
177,m1A,0,-0.588
178,m1A,0,-0.683
179,m1A,0,-0.592
180,m1A,0,-0.657
181,m1A,0,-0.608
182,m1A,0,-0.683
183,m1A,0,-0.585
184,m1A,0,-0.686
185,m1A,0,-0.209
186,m1A,0,-0.662
187,m1A,0,-0.602
188,m1A,0,-0.64
189,m1A,0,-0.785
190,m1A,0,-0.786
191,m1A,0,-0.592
192,m1A,0,-0.613
193,m1A,0,-0.71
194,m1A,0,-0.286
195,m1A,0,-0.677
196,m1A,0,-0.716
197,m1A,0,-0.544
198,m1A,0,-0.681
199,m1A,0,-0.632
200,m1A,0,-0.606
201,m1A,0,-0.606
202,m6A,0,-0.674
203,m6A,0,-0.655
204,m6A,0,-0.67
205,m6A,0,-0.591
206,m6A,0,-0.717
207,m6A,0,-0.668
208,m6A,0,-0.743
209,m6A,0,-0.691
210,m6A,0,-0.692
211,m6A,0,-0.515
212,m6A,0,-0.615
213,m6A,0,-0.599
214,m6A,0,-0.695
215,m6A,0,-0.691
216,m6A,0,-0.643
217,m6A,0,-0.184
218,m6A,0,-0.607
219,m6A,0,-0.6
220,m6A,0,-0.583
221,m6A,0,-0.748
222,m6A,0,-0.606
223,m6A,0,-0.591
224,m6A,0,-0.615
225,m6A,0,-0.662
226,m6A,0,-0.613
227,m6A,0,-0.573
228,m6A,0,-0.66
229,m6A,0,-0.712
230,m6A,0,-0.7
231,m6A,0,-0.565
232,m6A,0,-0.579
233,m6A,0,-0.756
234,m6A,0,-0.639
235,m6A,0,-0.636
236,m6A,0,-0.527
237,m6A,0,-0.655
238,m6A,0,-0.592
239,m6A,0,-0.633
240,m6A,0,-0.719
241,m6A,0,-0.697
242,m6A,0,-0.624
243,m6A,0,-0.628
244,m6A,0,-0.602
245,m6A,0,-0.645
246,m6A,0,-0.759
247,m6A,0,-0.596
248,m6A,0,-0.561
249,m6A,0,-0.592
250,m6A,0,-0.532
251,m6A,0,-0.524
252,m6A,0,-0.699
253,m6A,0,-0.865
254,m6A,0,-0.097
255,m6A,0,-0.691
256,m6A,0,-0.725
257,m6A,0,-0.466
258,m6A,0,-0.683
259,m6A,0,-0.77
260,m6A,0,-0.669
261,m6A,0,-0.226
262,m6A,0,-0.685
263,m6A,0,-0.299
264,m6A,0,-0.682
265,m6A,0,-0.605
266,m6A,0,-0.6
267,m6A,0,-0.595
268,m6A,0,-0.135
269,m6A,0,-0.681
270,m6A,0,-0.672
271,m6A,0,-0.689
272,m6A,0,-0.563
273,m6A,0,-0.613
274,m6A,0,-0.661
275,m6A,0,-0.623
276,m6A,0,-0.641
277,m6A,0,-0.511
278,m6A,0,-0.584
279,m6A,0,-0.622
280,m6A,0,-0.741
281,m6A,0,-0.382
282,m6A,0,-0.705
283,m6A,0,-0.613
284,m6A,0,-0.621
285,m6A,0,-0.557
286,m6A,0,-0.822
287,m6A,0,-0.72
288,m6A,0,-0.595
289,m6A,0,-0.646
290,m6A,0,-0.597
291,m6A,0,-0.608
292,m6A,0,-0.749
293,m6A,0,-0.6
294,m6A,0,-0.71
295,m6A,0,-0.855
296,m6A,0,-0.67
297,m6A,0,-0.597
298,m6A,0,-0.622
299,m6A,0,-0.304
300,m6A,0,-0.942
301,m6A,0,-0.64
302,m6A,0,-0.618
