,label,variable,value
0,C,0,0.274
1,C,0,0.027
2,C,0,0.3
3,C,0,0.011
4,C,0,0.292
5,C,0,0.331
6,C,0,0.253
7,C,0,0.016
8,C,0,0.07
9,C,0,0.314
10,C,0,0.148
11,C,0,0.266
12,C,0,0.336
13,C,0,0.31
14,C,0,0.029
15,C,0,0.108
16,C,0,0.222
17,C,0,0.064
18,C,0,0.235
19,C,0,0.041
20,C,0,0.284
21,C,0,0.39
22,C,0,0.243
23,C,0,0.339
24,C,0,0.209
25,C,0,0.299
26,C,0,0.315
27,C,0,0.372
28,C,0,0.285
29,C,0,0.314
30,C,0,0.28
31,C,0,0.135
32,C,0,0.273
33,C,0,0.217
34,C,0,0.238
35,C,0,0.246
36,C,0,0.235
37,C,0,0.296
38,C,0,0.41
39,C,0,0.183
40,C,0,0.175
41,C,0,0.119
42,C,0,0.269
43,C,0,0.28
44,C,0,0.257
45,C,0,0.302
46,C,0,0.349
47,C,0,0.39
48,C,0,0.291
49,C,0,0.301
50,C,0,0.01
51,C,0,0.358
52,C,0,0.109
53,C,0,0.107
54,C,0,0.23
55,C,0,0.07
56,C,0,0.307
57,C,0,0.216
58,C,0,0.361
59,C,0,0.268
60,C,0,0.256
61,C,0,0.258
62,C,0,0.081
63,C,0,0.069
64,C,0,0.229
65,C,0,0.295
66,C,0,0.25
67,C,0,0.321
68,C,0,0.307
69,C,0,0.286
70,C,0,0.283
71,C,0,0.279
72,C,0,0.321
73,C,0,0.332
74,C,0,0.288
75,C,0,0.253
76,C,0,0.185
77,C,0,0.081
78,C,0,0.275
79,C,0,0.396
80,C,0,0.153
81,C,0,0.239
82,C,0,0.314
83,C,0,0.292
84,C,0,0.303
85,C,0,0.301
86,C,0,0.278
87,C,0,0.161
88,C,0,0.446
89,C,0,0.25
90,C,0,0.257
91,C,0,0.408
92,C,0,0.258
93,C,0,0.22
94,C,0,0.255
95,C,0,0.267
96,C,0,0.202
97,C,0,0.298
98,C,0,0.274
99,C,0,0.239
100,C,0,0.285
101,m5C,0,0.393
102,m5C,0,0.044
103,m5C,0,0.22
104,m5C,0,0.28
105,m5C,0,0.295
106,m5C,0,0.308
107,m5C,0,0.29
108,m5C,0,0.048
109,m5C,0,0.23
110,m5C,0,0.224
111,m5C,0,0.213
112,m5C,0,0.268
113,m5C,0,0.312
114,m5C,0,0.261
115,m5C,0,0.317
116,m5C,0,0.311
117,m5C,0,0.314
118,m5C,0,0.255
119,m5C,0,0.3
120,m5C,0,0.262
121,m5C,0,0.338
122,m5C,0,0.158
123,m5C,0,0.308
124,m5C,0,0.177
125,m5C,0,0.173
126,m5C,0,0.007
127,m5C,0,0.294
128,m5C,0,0.364
129,m5C,0,0.234
130,m5C,0,0.284
131,m5C,0,0.253
132,m5C,0,0.256
133,m5C,0,0.068
134,m5C,0,0.193
135,m5C,0,0.28
136,m5C,0,0.224
137,m5C,0,0.104
138,m5C,0,0.308
139,m5C,0,0.007
140,m5C,0,0.292
141,m5C,0,0.258
142,m5C,0,0.36
143,m5C,0,0.22
144,m5C,0,0.267
145,m5C,0,0.004
146,m5C,0,0.242
147,m5C,0,0.278
148,m5C,0,0.313
149,m5C,0,0.166
150,m5C,0,0.019
151,m5C,0,0.264
152,m5C,0,0.311
153,m5C,0,0.214
154,m5C,0,0.335
155,m5C,0,0.267
156,m5C,0,0.27
157,m5C,0,0.317
158,m5C,0,0.322
159,m5C,0,0.179
160,m5C,0,0.31
161,m5C,0,0.043
162,m5C,0,0.238
163,m5C,0,0.224
164,m5C,0,0.164
165,m5C,0,0.321
166,m5C,0,0.209
167,m5C,0,0.184
168,m5C,0,0.231
169,m5C,0,0.273
170,m5C,0,0.211
171,m5C,0,0.29
172,m5C,0,0.264
173,m5C,0,0.305
174,m5C,0,0.186
175,m5C,0,0.349
176,m5C,0,0.295
177,m5C,0,0.346
178,m5C,0,0.324
