,label,variable,value
0,G,0,28.0
1,G,0,16.0
2,G,0,0.0
3,G,0,31.0
4,G,0,15.0
5,G,0,5.0
6,G,0,37.0
7,G,0,29.0
8,G,0,3.0
9,G,0,17.0
10,G,0,3.0
11,G,0,14.0
12,G,0,28.0
13,G,0,18.0
14,G,0,19.0
15,G,0,8.0
16,G,0,5.0
17,G,0,3.0
18,G,0,15.0
19,G,0,9.0
20,G,0,29.0
21,G,0,15.0
22,G,0,12.0
23,G,0,30.0
24,G,0,0.0
25,G,0,0.0
26,G,0,0.0
27,G,0,7.0
28,G,0,4.0
29,G,0,8.0
30,G,0,3.0
31,G,0,23.0
32,G,0,0.0
33,G,0,5.0
34,G,0,10.0
35,G,0,12.0
36,G,0,29.0
37,G,0,16.0
38,G,0,12.0
39,G,0,18.0
40,G,0,19.0
41,G,0,21.0
42,G,0,0.0
43,G,0,22.0
44,G,0,22.0
45,G,0,3.0
46,G,0,19.0
47,G,0,5.0
48,G,0,20.0
49,G,0,16.0
50,G,0,13.0
51,G,0,30.0
52,G,0,0.0
53,G,0,5.0
54,G,0,15.0
55,G,0,27.0
56,G,0,9.0
57,G,0,14.0
58,G,0,22.0
59,G,0,14.0
60,G,0,0.0
61,G,0,23.0
62,G,0,3.0
63,G,0,32.0
64,G,0,10.0
65,G,0,31.0
66,G,0,21.0
67,G,0,12.0
68,G,0,14.0
69,G,0,20.0
70,G,0,16.0
71,G,0,34.0
72,G,0,28.0
73,G,0,4.0
74,G,0,18.0
75,G,0,18.0
76,G,0,14.0
77,G,0,7.0
78,G,0,10.0
79,G,0,7.0
80,G,0,22.0
81,G,0,28.0
82,G,0,0.0
83,G,0,0.0
84,G,0,24.0
85,G,0,16.0
86,G,0,18.0
87,G,0,36.0
88,G,0,13.0
89,G,0,22.0
90,G,0,5.0
91,G,0,29.0
92,G,0,14.0
93,G,0,30.0
94,G,0,9.0
95,G,0,12.0
96,G,0,14.0
97,G,0,9.0
98,G,0,26.0
99,G,0,20.0
100,G,0,20.0
101,m7G,0,27.0
102,m7G,0,10.0
103,m7G,0,28.0
104,m7G,0,15.0
105,m7G,0,32.0
106,m7G,0,25.0
107,m7G,0,0.0
108,m7G,0,8.0
109,m7G,0,16.0
110,m7G,0,19.0
111,m7G,0,18.0
112,m7G,0,4.0
113,m7G,0,30.0
114,m7G,0,14.0
115,m7G,0,7.0
116,m7G,0,11.0
117,m7G,0,0.0
118,m7G,0,12.0
119,m7G,0,30.0
120,m7G,0,3.0
121,m7G,0,28.0
122,m7G,0,21.0
123,m7G,0,13.0
124,m7G,0,22.0
125,m7G,0,0.0
126,m7G,0,9.0
127,m7G,0,9.0
128,m7G,0,19.0
129,m7G,0,3.0
130,m7G,0,17.0
131,m7G,0,18.0
132,m7G,0,4.0
133,m7G,0,30.0
134,m7G,0,4.0
135,m7G,0,8.0
136,m7G,0,4.0
137,m7G,0,14.0
138,m7G,0,4.0
139,m7G,0,3.0
140,m7G,0,22.0
141,m7G,0,11.0
142,m7G,0,25.0
143,m7G,0,17.0
144,m7G,0,26.0
145,m7G,0,15.0
146,m7G,0,4.0
147,m7G,0,4.0
148,m7G,0,21.0
149,m7G,0,7.0
150,m7G,0,18.0
151,m7G,0,18.0
152,m7G,0,22.0
153,m7G,0,13.0
154,m7G,0,27.0
155,m7G,0,24.0
156,m7G,0,3.0
157,m7G,0,17.0
158,m7G,0,6.0
159,m7G,0,12.0
160,m7G,0,0.0
161,m7G,0,27.0
162,m7G,0,23.0
163,m7G,0,29.0
164,m7G,0,9.0
165,m7G,0,14.0
166,m7G,0,16.0
167,m7G,0,3.0
168,m7G,0,18.0
169,m7G,0,2.0
170,m7G,0,13.0
171,m7G,0,15.0
172,m7G,0,25.0
173,m7G,0,6.0
174,m7G,0,17.0
175,m7G,0,24.0
176,m7G,0,25.0
177,m7G,0,19.0
178,m7G,0,9.0
179,m7G,0,4.0
180,m7G,0,22.0
181,m7G,0,24.0
182,m7G,0,0.0
183,m7G,0,21.0
184,m7G,0,32.0
185,m7G,0,2.0
186,m7G,0,7.0
187,m7G,0,3.0
188,m7G,0,23.0
189,m7G,0,16.0
190,m7G,0,3.0
191,m7G,0,18.0
192,m7G,0,6.0
193,m7G,0,22.0
194,m7G,0,19.0
195,m7G,0,20.0
196,m7G,0,18.0
197,m7G,0,6.0
198,m7G,0,24.0
199,m7G,0,21.0
200,m7G,0,16.0
201,m7G,0,29.0
