,label,variable,value
0,G,0,0.074
1,G,0,0.037
2,G,0,0.311
3,G,0,0.117
4,G,0,0.324
5,G,0,0.13
6,G,0,0.215
7,G,0,0.089
8,G,0,0.054
9,G,0,0.06
10,G,0,0.056
11,G,0,0.072
12,G,0,0.088
13,G,0,0.093
14,G,0,0.298
15,G,0,0.086
16,G,0,0.155
17,G,0,0.027
18,G,0,0.035
19,G,0,0.114
20,G,0,0.11
21,G,0,0.094
22,G,0,0.066
23,G,0,0.099
24,G,0,0.069
25,G,0,0.094
26,G,0,0.122
27,G,0,0.046
28,G,0,0.094
29,G,0,0.337
30,G,0,0.111
31,G,0,0.086
32,G,0,0.059
33,G,0,0.085
34,G,0,0.063
35,G,0,0.063
36,G,0,0.12
37,G,0,0.084
38,G,0,0.104
39,G,0,0.107
40,G,0,0.077
41,G,0,0.12
42,G,0,0.043
43,G,0,0.099
44,G,0,0.121
45,G,0,0.33
46,G,0,0.197
47,G,0,0.106
48,G,0,0.073
49,G,0,0.064
50,G,0,0.111
51,G,0,0.136
52,G,0,0.054
53,G,0,0.092
54,G,0,0.214
55,G,0,0.073
56,G,0,0.129
57,G,0,0.363
58,G,0,0.093
59,G,0,0.051
60,G,0,0.106
61,G,0,0.112
62,G,0,0.052
63,G,0,0.036
64,G,0,0.097
65,G,0,0.136
66,G,0,0.132
67,G,0,0.069
68,G,0,0.175
69,G,0,0.113
70,G,0,0.047
71,G,0,0.091
72,G,0,0.05
73,G,0,0.097
74,G,0,0.112
75,G,0,0.077
76,G,0,0.143
77,G,0,0.057
78,G,0,0.12
79,G,0,0.083
80,G,0,0.104
81,G,0,0.149
82,G,0,0.189
83,G,0,0.065
84,G,0,0.104
85,G,0,0.072
86,G,0,0.273
87,G,0,0.062
88,G,0,0.062
89,G,0,0.33
90,G,0,0.128
91,G,0,0.229
92,G,0,0.137
93,G,0,0.031
94,G,0,0.087
95,G,0,0.153
96,G,0,0.102
97,G,0,0.084
98,G,0,0.086
99,G,0,0.047
100,G,0,0.084
101,m7G,0,0.108
102,m7G,0,0.038
103,m7G,0,0.153
104,m7G,0,0.084
105,m7G,0,0.059
106,m7G,0,0.193
107,m7G,0,0.076
108,m7G,0,0.066
109,m7G,0,0.048
110,m7G,0,0.05
111,m7G,0,0.173
112,m7G,0,0.045
113,m7G,0,0.099
114,m7G,0,0.168
115,m7G,0,0.063
116,m7G,0,0.194
117,m7G,0,0.026
118,m7G,0,0.064
119,m7G,0,0.157
120,m7G,0,0.3
121,m7G,0,0.066
122,m7G,0,0.038
123,m7G,0,0.05
124,m7G,0,0.05
125,m7G,0,0.215
126,m7G,0,0.132
127,m7G,0,0.053
128,m7G,0,0.093
129,m7G,0,0.126
130,m7G,0,0.339
131,m7G,0,0.039
132,m7G,0,0.042
133,m7G,0,0.056
134,m7G,0,0.139
135,m7G,0,0.182
136,m7G,0,0.053
137,m7G,0,0.044
138,m7G,0,0.049
139,m7G,0,0.072
140,m7G,0,0.08
141,m7G,0,0.256
142,m7G,0,0.142
143,m7G,0,0.051
144,m7G,0,0.054
145,m7G,0,0.391
146,m7G,0,0.061
147,m7G,0,0.043
148,m7G,0,0.068
149,m7G,0,0.017
150,m7G,0,0.037
151,m7G,0,0.072
152,m7G,0,0.049
153,m7G,0,0.179
154,m7G,0,0.016
155,m7G,0,0.072
156,m7G,0,0.191
157,m7G,0,0.114
158,m7G,0,0.071
159,m7G,0,0.026
160,m7G,0,0.034
161,m7G,0,0.008
162,m7G,0,0.158
163,m7G,0,0.095
164,m7G,0,0.059
165,m7G,0,0.064
166,m7G,0,0.049
167,m7G,0,0.064
168,m7G,0,0.042
169,m7G,0,0.062
170,m7G,0,0.044
171,m7G,0,0.027
172,m7G,0,0.105
173,m7G,0,0.024
174,m7G,0,0.052
175,m7G,0,0.125
176,m7G,0,0.079
177,m7G,0,0.327
178,m7G,0,0.042
179,m7G,0,0.034
180,m7G,0,0.043
181,m7G,0,0.263
182,m7G,0,0.073
183,m7G,0,0.264
184,m7G,0,0.103
185,m7G,0,0.032
186,m7G,0,0.05
187,m7G,0,0.204
188,m7G,0,0.082
189,m7G,0,0.034
190,m7G,0,0.061
191,m7G,0,0.049
192,m7G,0,0.035
193,m7G,0,0.069
194,m7G,0,0.081
195,m7G,0,0.05
196,m7G,0,0.077
197,m7G,0,0.204
198,m7G,0,0.066
199,m7G,0,0.028
200,m7G,0,0.099
201,m7G,0,0.061
