,label,variable,value
0,U,0,-0.649
1,U,0,-0.683
2,U,0,-0.683
3,U,0,-0.7
4,U,0,-0.795
5,U,0,-0.734
6,U,0,-0.891
7,U,0,-0.795
8,U,0,-0.747
9,U,0,-0.642
10,U,0,-0.866
11,U,0,-0.788
12,U,0,-0.769
13,U,0,-0.732
14,U,0,-0.819
15,U,0,-0.792
16,U,0,-0.777
17,U,0,-0.829
18,U,0,-0.718
19,U,0,-0.772
20,U,0,-0.791
21,U,0,-0.788
22,U,0,-0.752
23,U,0,-0.722
24,U,0,-0.792
25,U,0,-0.794
26,U,0,-0.687
27,U,0,-0.859
28,U,0,-0.824
29,U,0,-0.685
30,U,0,-0.681
31,U,0,-0.795
32,U,0,-0.776
33,U,0,-0.78
34,U,0,-0.779
35,U,0,-0.83
36,U,0,-0.584
37,U,0,-0.799
38,U,0,-0.777
39,U,0,-0.809
40,U,0,-0.565
41,U,0,-0.546
42,U,0,-0.804
43,U,0,-0.765
44,U,0,-0.737
45,U,0,-0.755
46,U,0,-0.746
47,U,0,-0.739
48,U,0,-0.454
49,U,0,-0.73
50,U,0,-0.708
51,U,0,-0.801
52,U,0,-0.759
53,U,0,-0.789
54,U,0,-0.843
55,U,0,-0.788
56,U,0,-0.636
57,U,0,-0.746
58,U,0,-0.796
59,U,0,-0.731
60,U,0,-0.782
61,U,0,-0.765
62,U,0,-0.809
63,U,0,-0.7
64,U,0,-0.229
65,U,0,-0.529
66,U,0,-0.704
67,U,0,-0.956
68,U,0,-0.742
69,U,0,-0.66
70,U,0,-0.748
71,U,0,-0.735
72,U,0,-0.766
73,U,0,-0.795
74,U,0,-0.636
75,U,0,-0.789
76,U,0,-0.812
77,U,0,-0.761
78,U,0,-1.002
79,U,0,-0.783
80,U,0,-0.747
81,U,0,-0.731
82,U,0,-0.956
83,U,0,-0.801
84,U,0,-0.699
85,U,0,-0.738
86,U,0,-0.763
87,U,0,-0.789
88,U,0,-0.773
89,U,0,-0.742
90,U,0,-0.67
91,U,0,-0.773
92,U,0,-0.649
93,U,0,-0.745
94,U,0,-0.796
95,U,0,-0.749
96,U,0,-0.776
97,U,0,-0.812
98,U,0,-0.658
99,U,0,-0.709
100,U,0,-0.67
101,  Ψ ,0,-0.742
102,  Ψ ,0,-0.76
103,  Ψ ,0,-0.848
104,  Ψ ,0,-0.881
105,  Ψ ,0,-0.882
106,  Ψ ,0,-0.839
107,  Ψ ,0,-0.555
108,  Ψ ,0,-0.739
109,  Ψ ,0,-0.39
110,  Ψ ,0,-0.869
111,  Ψ ,0,-0.705
112,  Ψ ,0,-0.794
113,  Ψ ,0,-0.687
114,  Ψ ,0,-0.851
115,  Ψ ,0,-0.822
116,  Ψ ,0,-0.902
117,  Ψ ,0,-0.886
118,  Ψ ,0,-0.863
119,  Ψ ,0,-0.947
120,  Ψ ,0,-0.76
121,  Ψ ,0,-0.535
122,  Ψ ,0,-0.829
123,  Ψ ,0,-0.889
124,  Ψ ,0,-0.857
125,  Ψ ,0,-0.447
126,  Ψ ,0,-0.837
127,  Ψ ,0,-0.566
128,  Ψ ,0,-0.737
129,  Ψ ,0,-0.883
130,  Ψ ,0,-0.853
131,  Ψ ,0,-0.866
132,  Ψ ,0,-0.891
133,  Ψ ,0,-0.748
134,  Ψ ,0,-0.832
135,  Ψ ,0,-0.883
136,  Ψ ,0,-0.672
137,  Ψ ,0,-0.816
138,  Ψ ,0,-0.446
139,  Ψ ,0,-0.894
140,  Ψ ,0,-0.877
141,  Ψ ,0,-0.888
142,  Ψ ,0,-0.861
143,  Ψ ,0,-0.958
144,  Ψ ,0,-0.795
145,  Ψ ,0,-0.159
146,  Ψ ,0,-0.571
147,  Ψ ,0,-0.92
148,  Ψ ,0,-0.992
149,  Ψ ,0,-0.662
150,  Ψ ,0,-0.828
151,  Ψ ,0,-0.907
152,  Ψ ,0,-0.721
153,  Ψ ,0,-0.731
154,  Ψ ,0,-0.793
155,  Ψ ,0,-0.977
156,  Ψ ,0,-0.831
157,  Ψ ,0,-0.691
158,  Ψ ,0,-0.848
159,  Ψ ,0,-0.284
160,  Ψ ,0,-0.799
161,  Ψ ,0,-0.719
162,  Ψ ,0,-0.8
163,  Ψ ,0,-0.794
164,  Ψ ,0,-0.887
165,  Ψ ,0,-0.898
166,  Ψ ,0,-0.714
167,  Ψ ,0,-0.896
168,  Ψ ,0,-0.806
169,  Ψ ,0,-0.929
170,  Ψ ,0,-0.541
171,  Ψ ,0,-0.792
172,  Ψ ,0,-0.571
173,  Ψ ,0,-0.779
174,  Ψ ,0,-0.847
175,  Ψ ,0,-0.775
176,  Ψ ,0,-0.703
177,  Ψ ,0,-0.809
178,  Ψ ,0,-0.884
179,  Ψ ,0,-1.005
180,  Ψ ,0,-0.774
181,  Ψ ,0,-0.92
182,  Ψ ,0,-0.555
183,  Ψ ,0,-0.781
184,  Ψ ,0,-0.462
185,  Ψ ,0,-0.752
186,  Ψ ,0,-0.901
187,  Ψ ,0,-0.713
188,  Ψ ,0,-0.82
189,  Ψ ,0,-0.764
190,  Ψ ,0,-0.913
191,  Ψ ,0,-0.911
192,  Ψ ,0,-0.781
193,  Ψ ,0,-0.842
194,  Ψ ,0,-0.92
195,  Ψ ,0,-0.798
196,  Ψ ,0,-0.742
197,  Ψ ,0,-0.769
198,  Ψ ,0,-0.744
199,  Ψ ,0,-0.745
200,  Ψ ,0,-0.763
201,  Ψ ,0,-0.788
